Month,Monthly Additions,Monthly Deletions,Monthly Change
2016-08-01,125900,97646,223546
2016-09-01,1165481,55154,1220635
2016-10-01,1590348,129876,1720224
2016-11-01,152733,3621912,3774645
2016-12-01,127403,67201,194604
2017-01-01,142490,35001,177491
2017-02-01,77643,39471,117114
2017-03-01,326561,70922,397483
2017-04-01,168933,115460,284393
2017-05-01,186702,180277,366979
2017-06-01,76490,32234,108724
2017-07-01,43987,19404,63391
2017-08-01,74663,21031,95694
2017-09-01,93788,31200,124988
2017-10-01,63591,17058,80649
2017-11-01,178799,44877,223676
2017-12-01,103155,23171,126326
2018-01-01,221903,106327,328230
2018-02-01,136438,67745,204183
2018-03-01,238124,22777,260901
2018-04-01,342012,93532,435544
2018-05-01,508006,152137,660143
2018-06-01,365822,168047,533869
2018-07-01,64740,59154,123894
2018-08-01,40225,10063,50288
2018-09-01,60056,18807,78863
2018-10-01,519883,188531,708414
2018-11-01,111306,38256,149562
2018-12-01,57729,40832,98561
2019-01-01,68625,30228,98853
2019-02-01,54169,25899,80068
2019-03-01,51821,18894,70715
2019-04-01,45854,13217,59071
2019-05-01,134105,74044,208149
2019-06-01,53936,15459,69395
2019-07-01,172750,63821,236571
2019-08-01,93858,29982,123840
2019-09-01,37454,20396,57850
2019-10-01,86605,36368,122973
2019-11-01,124607,34514,159121
2019-12-01,80186,35529,115715
2020-01-01,128269,47400,175669
2020-02-01,206091,123608,329699
2020-03-01,61285,25787,87072
2020-04-01,72016,42086,114102
2020-05-01,419127,23247,442374
2020-06-01,241147,37521,278668
2020-07-01,198173,102019,300192
2020-08-01,80944,28768,109712
2020-09-01,93973,47689,141662
2020-10-01,97034,35375,132409
2020-11-01,178141,51906,230047
2020-12-01,70046,16965,87011
2021-01-01,965012,182101,1147113
2021-02-01,88665,30220,118885
2021-03-01,257924,95054,352978
2021-04-01,59933,35560,95493
2021-05-01,21406,11786,33192
2021-06-01,37635,9807,47442
2021-07-01,32756,8771,41527
