Month,Monthly Additions,Monthly Deletions,Monthly Change
2011-01-01,19449,15850,35299
2011-02-01,134052,112260,246312
2011-03-01,119930,52259,172189
2011-04-01,55673,24131,79804
2011-05-01,61222,26166,87388
2011-06-01,148627,80342,228969
2011-07-01,33618,9029,42647
2011-08-01,82027,23715,105742
2011-09-01,66762,19255,86017
2011-10-01,159847,42656,202503
2011-11-01,162016,46429,208445
2011-12-01,101092,41693,142785
2012-01-01,102226,51438,153664
2012-02-01,82853,46451,129304
2012-03-01,60745,32894,93639
2012-04-01,93956,43609,137565
2012-05-01,61050,11041,72091
2012-06-01,65447,11485,76932
2012-07-01,43314,12611,55925
2012-08-01,113172,42800,155972
2012-09-01,62921,34886,97807
2012-10-01,42197,27523,69720
2012-11-01,113409,6226,119635
2012-12-01,31279,28197,59476
2013-01-01,157878,25816,183694
2013-02-01,40472,21321,61793
2013-03-01,38331,117859,156190
2013-04-01,51762,11942,63704
2013-05-01,32948,24767,57715
2013-06-01,32022,34647,66669
2013-07-01,35930,54601,90531
2013-08-01,133305,68405,201710
2013-09-01,59880,20148,80028
2013-10-01,140809,17666,158475
2013-11-01,65941,25264,91205
2013-12-01,37019,12085,49104
2014-01-01,17275,10148,27423
2014-02-01,39225,14855,54080
2014-03-01,26982,6743,33725
2014-04-01,26882,14489,41371
2014-05-01,172086,72645,244731
2014-06-01,287771,603310,891081
2014-07-01,33356,1653589,1686945
2014-08-01,28060,24770,52830
2014-09-01,25541,13446,38987
2014-10-01,20198,17552,37750
2014-11-01,10729,12328,23057
2014-12-01,18703,19554,38257
2015-01-01,47499,43028,90527
2015-02-01,8745,7285,16030
2015-03-01,15229,6800,22029
2015-04-01,27435,15934,43369
2015-05-01,8351,6320,14671
2015-06-01,106516,56356,162872
2015-07-01,118645,51990,170635
2015-08-01,109370,51597,160967
2015-09-01,78277,20751,99028
2015-10-01,39706,23515,63221
2015-11-01,6922,7979,14901
2015-12-01,30567,25442,56009
2016-01-01,160075,83049,243124
2016-02-01,12845,17203,30048
2016-03-01,6278,2834,9112
2016-04-01,66241,59317,125558
2016-05-01,34545,1490,36035
2016-06-01,27597,6766,34363
2016-07-01,115042,27045,142087
2016-08-01,101042,87639,188681
2016-09-01,28856,6575,35431
2016-10-01,20750,16875,37625
2016-11-01,38700,11880,50580
2016-12-01,38226,35909,74135
2017-01-01,49833,22634,72467
2017-02-01,85152,56492,141644
2017-03-01,52615,18634,71249
2017-04-01,62499,17657,80156
2017-05-01,48501,21699,70200
2017-06-01,30030,14672,44702
2017-07-01,28033,17460,45493
2017-08-01,16256,7853,24109
2017-09-01,6803,22089,28892
2017-10-01,12708,7470,20178
2017-11-01,134863,9447,144310
2017-12-01,34322,5614,39936
2018-01-01,98743,28435,127178
2018-02-01,39538,18804,58342
2018-03-01,39411,26558,65969
2018-04-01,13223,5569,18792
2018-05-01,112649,38275,150924
2018-06-01,80693,33653,114346
2018-07-01,25500,17316,42816
2018-08-01,83130,9961,93091
2018-09-01,18297,2463,20760
2018-10-01,21164,3438,24602
2018-11-01,19048,9731,28779
2018-12-01,10517,1898,12415
2019-01-01,18857,11033,29890
2019-02-01,50325,4365,54690
2019-03-01,21759,4356,26115
2019-04-01,20249,3478,23727
2019-05-01,51030,6064,57094
2019-06-01,7492,2346,9838
2019-07-01,13347,2035,15382
2019-08-01,68891,11416,80307
2019-09-01,86989,15458,102447
2019-10-01,18723,6427,25150
2019-11-01,7139,3285,10424
2019-12-01,24622,2658,27280
2020-01-01,42686,7581,50267
2020-02-01,14191,7462,21653
2020-03-01,16577,12306,28883
2020-04-01,22290,4785,27075
2020-05-01,152570,24512,177082
2020-06-01,7341,2288,9629
2020-07-01,14742,5836,20578
2020-08-01,166123,66123,232246
2020-09-01,82939,10057,92996
2020-10-01,59485,14220,73705
2020-11-01,23922,13845,37767
2020-12-01,28564,9183,37747
2021-01-01,21870,7088,28958
2021-02-01,97298,24834,122132
2021-03-01,29020,14150,43170
2021-04-01,9296,3854,13150
2021-05-01,13560,5703,19263
2021-06-01,9347,17672,27019
2021-07-01,20994,39666,60660
